COUNTRY,YEAR,SUICIDE RATE,GDP RATE,Schizophrenia (%),Anxiety disorders (%),Drug use disorders (%),Depression (%),Alcohol use disorders (%)
Indonesia,2015,2.6,1605.605431,0.228273,3.276482,0.581601,2.625926,0.649699
Indonesia,2016,2.6,1729.268021,0.22926,3.278178,0.585003,2.633091,0.650252
Jamaica,2000,2.1,3384.694861,0.198406,4.563235,0.919826,2.551216,1.363294
Jamaica,2005,1.6,4089.198442,0.198034,4.561116,0.939018,2.566573,1.368957
Jamaica,2010,2,4696.841894,0.199009,4.569921,0.950676,2.556094,1.45003
Jamaica,2015,2.2,4892.897447,0.199259,4.574925,0.950794,2.575587,1.444198
Jamaica,2016,2.2,4842.045011,0.199275,4.576234,0.949323,2.582892,1.437436
Japan,2000,18.1,38532.04088,0.291653,3.503311,0.849776,2.988969,0.569526
Japan,2005,18.8,37217.64873,0.290315,3.495453,0.850921,3.071846,0.560731
Japan,2010,18.8,44507.67639,0.303509,3.552643,0.880012,3.129768,0.56616
Japan,2015,14.9,34524.46986,0.300201,3.564487,0.906163,3.262431,0.57671
Japan,2016,13.7,38794.33094,0.298155,3.566992,0.911801,3.300907,0.579705
Kazakastan,2000,39.4,1229.000958,0.189193,2.589424,0.615017,3.575827,2.817329
Kazakastan,2005,38.6,3771.278957,0.192071,2.596993,0.644871,3.560473,3.215712
Kazakastan,2010,29.4,9070.488253,0.192071,2.596993,0.644871,3.560473,3.215712
Kazakastan,2015,23.4,10510.77189,0.19892,2.604275,0.629521,3.515736,3.512509
Kazakastan,2016,22,7714.841844,0.199423,2.605924,0.617783,3.513734,3.451337
Kenya,2000,15.8,397.4826588,0.167644,3.604493,0.464098,3.711449,1.270386
Kenya,2005,12.9,511.6164222,0.168395,3.611289,0.463564,3.68651,1.285308
Kenya,2010,11.9,951.6879611,0.169163,3.613346,0.474265,3.563583,1.255798
Kenya,2015,10.6,1336.883349,0.170214,3.630832,0.483446,3.514888,1.249349
Kenya,2016,10.5,1410.527571,0.170516,3.636768,0.485365,3.510561,1.248482
Kuwait,2000,3.1,18439.90039,0.212031,4.734119,1.482998,3.547975,0.67176
Kuwait,2005,2.7,35590.70407,0.214008,4.751031,1.442962,3.564094,0.673595
Kuwait,2010,2.4,38577.38166,0.214856,4.83924,1.574598,3.539318,0.6845
Kuwait,2015,2.4,29869.52939,0.21492,4.933717,1.597621,3.598983,0.680048
Kuwait,2016,2.5,27653.1644,0.214902,4.951041,1.597242,3.616657,0.678895
Libya,2000,5.3,7142.774452,0.198028,4.951123,2.056049,3.764621,0.683588
Libya,2005,4.6,8163.010778,0.198124,4.951782,2.27755,3.781037,0.681304
Libya,2010,5.4,12064.78069,0.199179,4.963149,2.485196,3.783166,0.687422
